Account ID,Campaign ID,Campaign Name,Campaign Type,Campaign Status,Budget,Bid Strategy Type,Ad Group ID,Ad Group Name,Ad Group Status,Keyword,Keyword Status,Keyword Match Type,Ad ID,Ad Type,Ad Status,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description Line 1,Description Line 2,Description Line 3,Description Line 4,Final URL,Final URL - Mobile
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijverfilters,Enabled,biologisch vijverfilter,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijverfilters,Enabled,filter vijver kopen,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijverfilters,Enabled,,Enabled,,2,Responsive Search Ad,Enabled,Professionele Vijverfilters,Biologische Waterbehandeling,Voor Kristalhelder Water,Oase Aquaforte Superfish,Topkwaliteit Filtermateriaal,Snelle en Betrouwbare Levering,Deskundig Advies Gratis,Alle Filtertypen Beschikbaar,Optimale Waterkwaliteit,Drunen Vijverspecialist,iDEAL Klarna Creditcard,Gratis Verzend v.a. €50,,,,Kies uit onze collectie topmerken als Oase en Aquaforte.,Alle filters zorgen voor optimaal water.,"Druk- en zuigfilters, biologische systemen.",Gratis expert-advies via WhatsApp voor juiste keuze.,https://vijvercentrum.nl/collections/vijverfilters,https://vijvercentrum.nl/collections/vijverfilters
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijverpompen,Enabled,vijverpomp,Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijverpompen,Enabled,vijverpomp kopen,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijverpompen,Enabled,circulatiepomp vijver,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijverpompen,Enabled,pomp voor vijver,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijverpompen,Enabled,waterpomp vijver,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijverpompen,Enabled,,Enabled,,3,Responsive Search Ad,Enabled,Sterke Vijverpompen,Betrouwbare Circulatiesystemen,Voor Gezonde Waterbeweging,Krachtige Topmerken,Waterkwaliteit Optimaliseren,Snelle Verzending Drunen,Deskundig Advies Beschikbaar,Alle Pompsoorten Voorraad,Energie-efficient & Duurzaam,24/7 WhatsApp Support,Betalen met iDEAL/Klarna,Gratis Verzend €50+,,,,Krachtige pompen van topmerken. Zorgen voor optimale waterkwaliteit.,Perfecte waterbeweging voor uw vijver.,Circulatie- en filterpompen in alle maten.,WhatsApp advies: +31 85 773 2409 voor juiste pump.,https://vijvercentrum.nl/collections/vijverpompen,https://vijvercentrum.nl/collections/vijverpompen
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijverplanten,Enabled,vijverplanten,Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijverplanten,Enabled,vijverplanten kopen,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijverplanten,Enabled,waterplanten vijver,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijverplanten,Enabled,aquatische planten,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijverplanten,Enabled,waterplanten online,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijverplanten,Enabled,,Enabled,,4,Responsive Search Ad,Enabled,Waterplanten voor Uw Vijver,Aquatische Plantensoorten,Voor Biodiversiteit,Gezonde Vijverecosysteem,Premium Plantenassortiment,Snel Bezorgd uit Drunen,Expert Planten Advies,Lelies Oeverbeplanting Kroos,Zuurstofproducenten Inbegrepen,Vijver Schoonste Tip,Klarna iDEAL Creditcard,Gratis Porto v.a. €50,,,,Breed assortiment waterplanten en aquatische planten.,Geselecteerde planten voor gezonde vijvers.,Zuurstofplanten tot drijvende planten beschikbaar.,Deskundig advies bij WhatsApp: +31 85 773 2409.,https://vijvercentrum.nl/collections/vijverplanten,https://vijvercentrum.nl/collections/vijverplanten
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijver Aanleg,Enabled,vijver aanleggen,Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijver Aanleg,Enabled,vijver maken,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijver Aanleg,Enabled,nieuwe vijver,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijver Aanleg,Enabled,vijveraanleg,Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijver Aanleg,Enabled,vijver bouwen,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijver Aanleg,Enabled,,Enabled,,5,Responsive Search Ad,Enabled,Professionele Vijveraanleg,Alles wat U Nodig Heeft,Expert Advies Beschikbaar,Complete Vijversets,Stap-voor-Stap Begeleiding,Snelle Leveringen Drunen,Materialen tot Installatie,WhatsApp Deskundigen Gratis,6000+ Producten Voorraad,Beginnersset tot ProLine,Betaal Flexibel met Klarna,Gratis Verzending €50+,,,,Van materialen tot installatie. Wij helpen u de perfecte vijver te bouwen.,Deskundig advies via WhatsApp.,Complete aanlegpakketten voor elke budgetcategorie.,Expert team helpt u bij elk stappenplan.,https://vijvercentrum.nl/,https://vijvercentrum.nl/
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,UV-C & Algen,Enabled,uvc vijver,Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,UV-C & Algen,Enabled,algen vijver bestrijden,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,UV-C & Algen,Enabled,uvc lamp vijver,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,UV-C & Algen,Enabled,groene water bestrijden,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,UV-C & Algen,Enabled,algenbestrijding,Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,UV-C & Algen,Enabled,,Enabled,,6,Responsive Search Ad,Enabled,UV-C Lampen voor Helder Water,Bestrijding Groene Water,Algenvrije Vijver Gegarandeerd,Effectieve Algenbestrijding,Kristalhelder Vijverwater,Snelle Verzending Drunen,UV-C Systemen voor Iedereen,Milieuvriendelijke Oplossing,Groen Water Probleem Opgelost,Expert Advies Gratis,iDEAL Klarna Creditcard,Verzending v.a. €50 Gratis,,,,Effectieve UV-C behandeling tegen algengroei.,Professionele oplossingen voor waterkwaliteit.,Alle UV-C wattages en lamptypen beschikbaar.,WhatsApp advies: +31 85 773 2409 voor juist systeem.,https://vijvercentrum.nl/collections/uvc-lampen,https://vijvercentrum.nl/collections/uvc-lampen
